  5	1.48
  7	1.19
  9	1.18
 11	1.3
 13	1.42
 15	1.55
 17	1.11
 19	1.29
 21	1.51
 23	1.42
 25	1.21
 27	1.66
 29	1.49
 31	1.48
 33	1.58
 35	1.43
 37	1.19
 39	1.53
 41	1.29
 43	1.17
 45	1.21
 47	1.76
 49	1.18
 51	1.47
 53	1.45
 55	1.2
 57	1.49
 59	1.5
 61	1.44
 63	1.43
 65	1.53
 67	1.34
 69	1.17
 71	1.43
 73	1.19
 75	1.32
 77	1.18
 79	1.56
 81	1.18
 83	1.43
 85	1.46
 87	1.18
 89	1.18
 91	1.51
 93	1.3
 95	1.34
 97	1.45
 99	1.18
101	1.47
103	1.22
105	1.47
107	1.53
109	1.39
111	1.19
113	1.47
115	1.32
117	1.18
119	1.46
121	1.4
123	1.44
125	1.3
127	1.47
129	1.18
131	1.22
133	1.49
135	1.47
137	1.32
139	1.2
141	1.49
143	1.19
145	1.21
147	1.2
149	1.19
151	1.48
153	1.66
155	1.2
157	1.43
159	1.19
161	1.45
163	1.3
165	1.46
167	1.18
169	1.39
171	1.52
173	1.18
175	1.47
177	1.17
179	1.17
181	1.44
183	1.11
185	1.2
187	1.19
189	1.52
191	1.18
193	1.34
195	1.19
197	1.17
199	1.65
201	1.77
203	1.17
205	1.39
207	1.52
209	1.18
211	1.79
213	1.35
215	1.47
217	1.41
219	1.64
221	1.65
223	1.18
225	1.18
227	1.17
229	1.83
231	1.48
233	1.42
235	1.32
237	1.48
239	1.5
241	1.49
243	1.19
SUM	164
