0.500	0.185
1.000	0.179
1.500	0.183
2.000	0.203
2.500	0.231
3.000	0.218
3.500	0.225
4.000	0.239
4.500	0.233
5.000	0.210
5.500	0.178
6.000	0.183
6.500	0.192
7.000	0.160
7.500	0.152
8.000	0.155
8.500	0.150
9.000	0.172
9.500	0.187
10.000	0.189
10.500	0.196
11.000	0.214
11.500	0.214
12.000	0.228
12.500	0.228
13.000	0.215
13.500	0.238
14.000	0.243
14.500	0.207
15.000	0.212
15.500	0.191
16.000	0.239
16.500	0.237
17.000	0.227
17.500	0.216
18.000	0.212
18.500	0.228
19.000	0.217
19.500	0.169
20.000	0.343
20.500	0.468
21.000	0.560
21.500	0.584
22.000	0.517
22.500	0.557
23.000	0.542
23.500	0.448
24.000	0.530
24.500	0.479
25.000	0.443
25.500	0.483
26.000	0.354
26.500	0.434
27.000	0.436
27.500	0.390
28.000	0.444
28.500	0.355
29.000	0.392
29.500	0.368
30.000	0.299
30.500	0.378
31.000	0.369
31.500	0.293
32.000	0.338
32.500	0.365
33.000	0.339
33.500	0.327
34.000	0.358
34.500	0.366
35.000	0.355
35.500	0.358
36.000	0.318
36.500	0.324
37.000	0.387
37.500	0.326
38.000	0.343
38.500	0.404
39.000	0.358
39.500	0.399
40.000	0.343
40.500	0.279
41.000	0.409
41.500	0.369
42.000	0.273
42.500	0.368
43.000	0.380
43.500	0.331
44.000	0.402
44.500	0.338
45.000	0.324
45.500	0.394
46.000	0.342
46.500	0.269
47.000	0.395
47.500	0.368
48.000	0.308
48.500	0.424
49.000	0.370
49.500	0.337
50.000	0.417
50.500	0.320
51.000	0.286
51.500	0.455
