ReceTime(s)	Throughput Rate(Mbps)
1556527277.647349	0
1556527277.648349	0
1556527277.649447	2.167056
1556527277.650720	112.824124
1556527277.651788	144.800000
1556527277.653043	167.246201
1556527277.654418	149.906711
1556527277.655418	0
1556527277.656418	0
1556527277.657728	31.181733
1556527277.658728	0
1556527277.659728	0
1556527277.660728	0
1556527277.661967	23.454668
1556527277.663103	19.448478
1556527277.664103	0
1556527277.665640	21.772390
1556527277.666655	119.731266
1556527277.667944	159.917129
1556527277.669173	146.895829
1556527277.670174	132.451644
1556527277.671468	128.047163
1556527277.672492	151.037020
1556527277.673539	179.392394
1556527277.674608	155.004460
1556527277.675610	121.269569
1556527277.676610	0
1556527277.677898	14.486036
1556527277.678898	0
1556527277.679898	0
1556527277.680898	0
1556527277.681898	0
1556527277.682898	0
1556527277.684332	5.151115
1556527277.685519	18.612573
1556527277.686519	0
1556527277.687519	0
1556527277.688519	0
1556527277.689519	0
1556527277.691240	3.861977
1556527277.692240	0
1556527277.693240	0
1556527277.694240	0
1556527277.695785	2.430677
1556527277.697618	18.081165
1556527277.698618	0
1556527277.700236	4.219652
1556527277.701517	8.623860
1556527277.702517	0
1556527277.703517	0
1556527277.704517	0
1556527277.706118	21.609700
1556527277.707118	0
1556527277.708118	0
1556527277.709118	0
1556527277.710118	0
1556527277.711474	10.313390
1556527277.712474	0
1556527277.713686	14.982539
1556527277.714686	0
1556527277.715686	0
1556527277.716824	14.081750
1556527277.718151	24.974488
1556527277.719151	0
1556527277.720298	56.601444
1556527277.721634	33.079422
1556527277.722640	142.741232
1556527277.723671	139.308048
1556527277.724864	129.637090
1556527277.726181	122.948588
1556527277.727485	129.989395
1556527277.728705	153.940199
1556527277.729726	183.915947
1556527277.730935	137.061724
1556527277.731935	0
1556527277.733452	17.556503
1556527277.734452	0
1556527277.735452	0
1556527277.736452	0
1556527277.737613	15.930323
1556527277.738613	0
1556527277.739613	0
1556527277.740613	0
1556527277.741722	10.753931
1556527277.742722	0
1556527277.743722	0
1556527277.744722	0
1556527277.746018	5.143301
1556527277.747018	0
1556527277.748018	0
1556527277.749018	0
1556527277.750018	0
1556527277.751018	0
1556527277.752964	1.590444
1556527277.753964	0
1556527277.754964	0
1556527277.755964	0
1556527277.756964	0
1556527277.757992	8.788658
1556527277.758992	0
1556527277.759992	0
1556527277.760992	0
1556527277.762264	25.860029
1556527277.763264	0
1556527277.764264	0
1556527277.765446	3.471902
1556527277.766446	0
1556527277.767446	0
1556527277.768446	0
1556527277.769719	5.170851
1556527277.770719	0
1556527277.771719	0
1556527277.772719	0
1556527277.773791	8.138642
1556527277.775002	161.089978
1556527277.776073	144.413179
1556527277.777372	138.995595
1556527277.778588	154.423054
1556527277.779864	147.180867
1556527277.780895	150.024052
1556527277.781913	141.069789
1556527277.783300	135.415506
1556527277.784300	0
1556527277.785300	0
1556527277.786916	36.660645
1556527277.787916	0
1556527277.789592	4.128297
1556527277.790592	0
1556527277.791592	0
1556527277.792592	0
1556527277.794196	11.997929
1556527277.795196	0
1556527277.796196	0
1556527277.797196	0
1556527277.798196	0
1556527277.799196	0
1556527277.800273	5.453647
1556527277.801273	0
1556527277.802273	0
1556527277.803273	0
1556527277.804750	2.467568
1556527277.805951	27.591902
1556527277.806951	0
1556527277.807951	0
1556527277.808951	0
1556527277.809951	0
1556527277.811473	4.001382
1556527277.812473	0
1556527277.813781	14.358847
1556527277.814781	0
1556527277.816282	8.834318
1556527277.818025	19.013541
1556527277.819025	0
1556527277.820784	28.029036
1556527277.821784	0
1556527277.822784	0
1556527277.823784	0
1556527277.824784	0
1556527277.826076	10.437917
1556527277.827107	157.069380
1556527277.828337	152.686955
1556527277.829367	132.385185
1556527277.830524	168.591799
1556527277.831524	0
1556527277.832524	0
1556527277.833798	55.144771
1556527277.834816	141.069789
1556527277.836060	159.840552
1556527277.837135	160.901308
1556527277.838139	124.808359
1556527277.839457	150.876990
1556527277.840457	0
1556527277.841483	59.978348
1556527277.842483	0
1556527277.843483	0
1556527277.844483	0
1556527277.845737	5.194037
1556527277.846737	0
1556527277.847737	0
1556527277.849477	5.907567
1556527277.850477	0
1556527277.851477	0
1556527277.852477	0
1556527277.853477	0
1556527277.854999	8.002418
1556527277.855999	0
1556527277.857923	11.334638
1556527277.858923	0
1556527277.859923	0
1556527277.860923	0
1556527277.861923	0
1556527277.863115	4.255499
1556527277.864115	0
1556527277.865115	0
1556527277.866196	3.585823
1556527277.867196	0
1556527277.868196	0
1556527277.869196	0
1556527277.870975	9.246396
1556527277.871975	0
1556527277.873809	11.694120
1556527277.874809	0
1556527277.876215	9.183629
1556527277.877757	7.163884
1556527277.878757	0
1556527277.879757	0
1556527277.881748	33.217755
1556527277.882748	0
1556527277.883748	0
1556527277.884748	0
1556527277.885918	10.597141
1556527277.886919	165.525125
1556527277.887948	118.094532
1556527277.888966	184.475878
1556527277.890261	127.976432
1556527277.891468	164.733952
1556527277.892761	136.709570
1556527277.894001	115.817727
1556527277.895470	135.375426
1556527277.896476	186.661611
1556527277.897669	138.896882
1556527277.898669	0
1556527277.899669	0
1556527277.900669	0
1556527277.901669	0
1556527277.903491	17.077849
1556527277.904491	0
1556527277.905681	15.134241
1556527277.906681	0
1556527277.907681	0
1556527277.908681	0
1556527277.910034	5.075693
1556527277.911034	0
1556527277.912034	0
1556527277.913034	0
1556527277.914034	0
1556527277.915034	0
1556527277.916034	0
1556527277.917782	4.277432
1556527277.918782	0
1556527277.919782	0
1556527277.921522	2.953972
1556527277.922522	0
1556527277.923522	0
1556527277.924522	0
1556527277.925721	2.630933
1556527277.926721	0
1556527277.927721	0
1556527277.928721	0
1556527277.929721	0
1556527277.930721	0
1556527277.931720	0
1556527277.932720	0
1556527277.933720	0
1556527277.935464	1.133880
1556527277.936464	0
1556527277.937597	15.536828
1556527277.938844	129.860038
1556527277.940115	147.760645
1556527277.941250	178.517118
1556527277.942355	129.988779
1556527277.943355	0
1556527277.944355	0
1556527277.946037	45.003885
1556527277.947275	151.716487
1556527277.948530	167.246201
1556527277.949602	133.978648
1556527277.950602	0
1556527277.951602	0
1556527277.952602	0
1556527277.954123	36.652428
1556527277.955123	0
1556527277.956123	0
1556527277.957123	0
1556527277.958967	22.806517
1556527277.959967	0
1556527277.960967	0
1556527277.962213	6.806610
1556527277.963213	0
1556527277.964213	0
1556527277.965884	9.028252
1556527277.966884	0
1556527277.967884	0
1556527277.969451	3.097119
1556527277.970451	0
1556527277.971451	0
1556527277.972451	0
1556527277.973533	8.119152
1556527277.974533	0
1556527277.975533	0
1556527277.976533	0
1556527277.977744	2.623337
1556527277.979484	25.396547
1556527277.980484	0
1556527277.981484	0
1556527277.982484	0
1556527277.983484	0
1556527277.984484	0
1556527277.985788	5.257290
1556527277.987480	71.828636
1556527277.988480	0
1556527277.989850	13.983301
1556527277.991487	33.743082
1556527277.992487	0
1556527277.994042	21.620007
1556527277.995282	142.544895
1556527277.996768	138.699182
1556527277.998037	150.964494
1556527277.999110	154.453333
1556527278.000110	0
1556527278.001312	50.168904
1556527278.002312	0
1556527278.003579	24.366849
1556527278.004579	0
1556527278.005962	26.227514
1556527278.006962	0
1556527278.007962	0
1556527278.009726	39.158855
1556527278.010726	0
1556527278.011726	0
1556527278.012726	0
1556527278.013907	10.569343
1556527278.014907	0
1556527278.015907	0
1556527278.016907	0
1556527278.017907	0
1556527278.019582	3.893291
1556527278.020582	0
1556527278.021582	0
1556527278.022582	0
1556527278.023582	0
1556527278.024582	0
1556527278.025582	0
1556527278.026582	0
1556527278.027910	3.979616
1556527278.028910	0
1556527278.029912	27.590806
1556527278.031153	133.533141
1556527278.032579	144.543053
1556527278.033579	0
1556527278.034750	83.159236
1556527278.035750	0
1556527278.036750	0
1556527278.037750	0
1556527278.038750	0
1556527278.040367	1.966807
1556527278.041367	0
1556527278.042367	0
1556527278.043367	0
1556527278.044367	0
1556527278.045520	2.143796
1556527278.046534	127.006819
1556527278.047745	167.340028
1556527278.048777	171.258027
1556527278.049964	102.389715
1556527278.050965	165.525125
1556527278.052810	35.928664
1556527278.053810	0
1556527278.054810	0
1556527278.055810	0
1556527278.057470	9.482452
1556527278.058470	0
1556527278.059504	21.725941
1556527278.060504	0
1556527278.061597	10.556100
1556527278.062597	0
1556527278.063597	0
1556527278.065056	22.356769
1556527278.066190	77.941127
1556527278.067697	144.098719
1556527278.068839	148.415866
1556527278.069854	174.154569
1556527278.070854	0
1556527278.071854	0
1556527278.072854	0
1556527278.073854	0
1556527278.075469	19.674748
1556527278.076469	0
1556527278.077709	9.863970
1556527278.078709	0
1556527278.079709	0
1556527278.080709	0
1556527278.081734	16.468191
1556527278.082734	0
1556527278.083734	0
1556527278.084734	0
1556527278.086108	7.577020
1556527278.087173	20.745914
1556527278.088173	0
1556527278.089545	4.657352
1556527278.090545	0
1556527278.091545	0
1556527278.092545	0
1556527278.093545	0
1556527278.094551	4.413583
1556527278.095551	0
1556527278.096551	0
1556527278.097779	3.422409
1556527278.098779	0
1556527278.099779	0
1556527278.101767	8.310396
1556527278.102799	160.591497
1556527278.103971	138.154597
1556527278.105129	146.368540
1556527278.106145	163.116639
1556527278.107443	116.222590
1556527278.108733	165.666543
1556527278.110120	124.699897
1556527278.111120	0
1556527278.113115	8.640662
1556527278.114115	0
1556527278.115115	0
1556527278.116115	0
1556527278.117115	0
1556527278.118115	0
1556527278.119115	0
1556527278.120115	0
1556527278.121481	2.641056
1556527278.122481	0
1556527278.123481	0
1556527278.124481	0
1556527278.125481	0
1556527278.126481	0
1556527278.127481	0
1556527278.128800	3.018829
1556527278.129800	0
1556527278.130800	0
1556527278.131800	0
1556527278.133521	4.679931
1556527278.134521	0
1556527278.135521	0
1556527278.136521	0
1556527278.138180	13.415076
1556527278.139276	154.646944
1556527278.140321	123.239790
1556527278.141750	126.334334
1556527278.142750	0
1556527278.144385	12.577633
1556527278.145385	0
1556527278.146385	0
1556527278.147385	0
1556527278.148809	2.497224
1556527278.150358	7.131907
1556527278.151358	0
1556527278.152358	0
1556527278.153731	9.825276
1556527278.155050	131.146782
1556527278.156344	165.147595
1556527278.157470	137.349989
1556527278.158470	0
1556527278.159953	62.285550
1556527278.160953	0
1556527278.161953	0
1556527278.162953	0
1556527278.163953	0
1556527278.165275	6.227399
1556527278.166275	0
1556527278.167275	0
1556527278.168275	0
1556527278.170135	31.824176
1556527278.171135	0
1556527278.172135	0
1556527278.173716	12.339814
1556527278.174716	0
1556527278.175716	0
1556527278.176716	0
1556527278.177732	8.252672
1556527278.178755	161.976229
1556527278.179935	131.077793
1556527278.181259	147.339456
1556527278.182535	147.180867
1556527278.183535	0
1556527278.185221	9.634653
1556527278.186221	0
1556527278.187221	0
1556527278.188221	0
1556527278.189221	0
1556527278.191207	18.455411
1556527278.192207	0
1556527278.194142	11.291365
1556527278.195142	0
1556527278.196142	0
1556527278.197142	0
1556527278.198362	26.178531
1556527278.199362	0
1556527278.200362	0
1556527278.201942	17.458808
1556527278.202942	0
1556527278.203942	0
1556527278.205774	18.284577
1556527278.206937	9.498975
1556527278.207937	0
1556527278.209871	3.765318
1556527278.210963	131.521397
1556527278.212018	167.542599
1556527278.213057	148.853603
1556527278.214214	124.122811
1556527278.215268	136.282353
1556527278.216268	0
1556527278.217268	0
1556527278.218268	0
1556527278.219468	15.781121
1556527278.220468	0
1556527278.222301	19.498401
1556527278.223301	0
1556527278.224301	0
1556527278.225551	6.798621
1556527278.226551	0
1556527278.227551	0
1556527278.228551	0
1556527278.230134	14.462675
1556527278.231134	0
1556527278.232134	0
1556527278.233605	12.731419
1556527278.234605	0
1556527278.235605	0
1556527278.236605	0
1556527278.237842	20.857979
1556527278.238842	0
1556527278.239842	0
1556527278.240842	0
1556527278.241977	16.030445
1556527278.242977	0
1556527278.243977	0
1556527278.245914	15.875008
1556527278.247469	45.061024
1556527278.248469	0
1556527278.249853	18.536254
1556527278.250853	0
1556527278.251853	0
1556527278.253749	5.671134
1556527278.254749	0
1556527278.255749	0
1556527278.256749	0
1556527278.257953	10.511201
1556527278.259654	36.740575
1556527278.260654	0
1556527278.262189	43.581640
1556527278.263598	112.449408
1556527278.265054	128.985099
1556527278.266330	138.523169
1556527278.267522	98.764800
1556527278.268788	98.977024
1556527278.269788	0
1556527278.270788	0
1556527278.272101	6.669449
1556527278.273101	0
1556527278.274101	0
1556527278.275460	6.577614
1556527278.276763	8.478683
1556527278.277763	0
1556527278.278763	0
1556527278.279763	0
1556527278.281666	9.012594
1556527278.283481	30.436153
1556527278.284481	0
1556527278.285946	13.445014
1556527278.287047	30.101343
1556527278.288047	0
1556527278.289648	4.247113
1556527278.290648	0
1556527278.291648	0
1556527278.292648	0
1556527278.293814	15.911177
1556527278.294814	0
1556527278.295814	0
1556527278.297721	11.310429
1556527278.298721	0
1556527278.299721	0
1556527278.301713	8.301959
1556527278.303481	6.248112
1556527278.304481	0
1556527278.305907	13.661720
1556527278.307059	86.304636
1556527278.308059	0
1556527278.309059	0
1556527278.310660	9.203999
1556527278.311660	0
1556527278.312660	0
1556527278.313914	13.579310
1556527278.314914	0
1556527278.315914	0
1556527278.317778	34.308138
1556527278.318877	160.853981
1556527278.320817	11.388964
1556527278.321817	0
1556527278.322817	0
1556527278.323817	0
1556527278.325715	13.532710
1556527278.326715	0
1556527278.327715	0
1556527278.328715	0
1556527278.329755	8.203482
1556527278.330985	170.650126
1556527278.332016	150.024052
1556527278.333169	124.559140
1556527278.334199	128.711111
1556527278.335199	0
1556527278.336199	0
1556527278.337522	13.297747
1556527278.338522	0
1556527278.339522	0
1556527278.340522	0
1556527278.341629	29.588761
1556527278.342629	0
1556527278.343629	0
1556527278.344629	0
1556527278.346108	9.866070
1556527278.347502	23.774243
1556527278.348502	0
1556527278.349502	0
1556527278.351448	2.799589
1556527278.352448	0
1556527278.353695	14.750424
1556527278.354695	0
1556527278.355695	0
1556527278.356695	0
1556527278.357868	10.589270
1556527278.358868	0
1556527278.359868	0
1556527278.361846	30.548157
1556527278.363227	16.000000
1556527278.364227	0
1556527278.365809	12.835457
1556527278.366809	0
1556527278.367809	0
1556527278.369447	6.073268
1556527278.370566	108.607714
1556527278.371849	152.020810
1556527278.373093	171.795285
1556527278.374283	145.333333
1556527278.375549	148.345009
1556527278.376549	0
1556527278.377783	31.364781
1556527278.378800	21.728488
1556527278.379800	0
1556527278.380800	0
1556527278.381800	0
1556527278.382800	0
1556527278.383800	0
1556527278.384810	5.514440
1556527278.386429	34.115741
1556527278.387429	0
1556527278.388429	0
1556527278.389742	3.334725
1556527278.390742	0
1556527278.391742	0
1556527278.393600	31.497714
1556527278.394650	136.777475
1556527278.395765	138.700877
1556527278.396840	123.316035
1556527278.397912	140.754448
1556527278.398912	0
1556527278.399912	0
1556527278.400912	0
1556527278.401912	0
1556527278.403563	18.264113
1556527278.404563	0
1556527278.405576	16.464290
1556527278.406576	0
1556527278.407576	0
1556527278.408576	0
1556527278.409872	12.857539
1556527278.410872	0
1556527278.411872	0
1556527278.412872	0
1556527278.413952	15.318413
1556527278.414952	0
1556527278.415952	0
1556527278.417507	13.495372
1556527278.418507	0
1556527278.419763	19.586178
1556527278.421311	21.412200
1556527278.422311	0
1556527278.423311	0
1556527278.425245	14.040361
1556527278.426468	90.341197
1556527278.427552	159.556631
1556527278.428914	132.548223
1556527278.430051	155.457329
1556527278.431066	170.426122
1556527278.432066	0
1556527278.433066	0
1556527278.434066	0
1556527278.435066	0
1556527278.436066	0
1556527278.437447	14.443282
1556527278.438447	0
1556527278.439447	0
1556527278.441234	2.917149
1556527278.442234	0
1556527278.443234	0
1556527278.444234	0
1556527278.445234	0
1556527278.446234	0
1556527278.447234	0
1556527278.448234	0
1556527278.449234	0
1556527278.450233	0
1556527278.451233	0
1556527278.452233	0
1556527278.453287	1.833165
1556527278.454393	109.871955
1556527278.455638	165.551896
1556527278.456657	130.096397
1556527278.458453	100.524094
1556527278.459453	0
1556527278.460516	5.354906
1556527278.462065	7.131907
1556527278.463065	0
1556527278.464065	0
1556527278.466000	8.422175
1556527278.467000	0
1556527278.468000	0
1556527278.469713	23.803249
1556527278.470713	0
1556527278.471713	0
1556527278.472713	0
1556527278.473715	11.041582
1556527278.475470	69.242766
1556527278.476470	0
1556527278.477798	14.236788
1556527278.478798	0
1556527278.479798	0
1556527278.481603	11.613760
1556527278.482603	0
1556527278.483603	0
1556527278.484603	0
1556527278.485958	19.423879
1556527278.487130	135.213835
1556527278.488154	183.402095
1556527278.489195	106.104877
1556527278.490459	113.632899
1556527278.491459	0
1556527278.492459	0
1556527278.493459	0
1556527278.494459	0
1556527278.495459	0
1556527278.496459	0
1556527278.497927	20.710149
1556527278.498927	0
1556527278.499927	0
1556527278.500927	0
1556527278.501927	0
1556527278.503173	4.211598
1556527278.504173	0
1556527278.505827	4.162789
1556527278.506954	166.640999
1556527278.507996	159.011668
1556527278.509179	121.396211
1556527278.510179	0
1556527278.511179	0
1556527278.512179	0
1556527278.513498	35.810323
1556527278.514682	74.645187
1556527278.515682	0
1556527278.517664	14.819221
1556527278.518722	10.440739
1556527278.519722	0
1556527278.520722	0
1556527278.521722	0
1556527278.523468	4.655481
1556527278.524468	0
1556527278.525755	14.492077
1556527278.526755	0
1556527278.527755	0
1556527278.528755	0
1556527278.529755	0
1556527278.531292	23.942129
1556527278.532292	0
1556527278.533608	9.540045
1556527278.534996	47.752662
1556527278.535996	0
1556527278.537978	18.524027
1556527278.539009	139.275838
1556527278.540276	156.952954
1556527278.541308	135.512015
1556527278.542313	179.612903
1556527278.543313	0
1556527278.544313	0
1556527278.545888	18.541817
1556527278.547486	59.846636
1556527278.548486	0
1556527278.550136	29.181466
1556527278.551136	0
1556527278.552136	0
1556527278.553787	13.140208
1556527278.554787	0
1556527278.555787	0
1556527278.557466	15.013933
1556527278.558466	0
1556527278.559466	0
1556527278.560466	0
1556527278.561466	0
1556527278.563170	9.683999
1556527278.564170	0
1556527278.565804	16.776249
1556527278.566804	0
1556527278.567804	0
1556527278.568804	0
1556527278.569804	0
1556527278.570804	0
1556527278.571804	0
1556527278.573465	15.862073
1556527278.574465	0
1556527278.575465	0
1556527278.576465	0
1556527278.577773	15.386352
1556527278.578826	136.405797
1556527278.580141	148.327774
1556527278.581146	179.655516
1556527278.582184	117.063849
1556527278.583249	82.983658
1556527278.584249	0
1556527278.585563	4.774446
1556527278.586563	0
1556527278.587563	0
1556527278.589459	2.835567
1556527278.590459	0
1556527278.591459	0
1556527278.592459	0
1556527278.593614	7.976130
1556527278.594614	0
1556527278.595614	0
1556527278.597480	40.006414
1556527278.599469	16.663630
1556527278.600469	0
1556527278.602086	61.871914
1556527278.603471	130.357721
1556527278.604579	166.094254
1556527278.605785	155.735864
1556527278.606801	188.546222
1556527278.607801	0
1556527278.608801	0
1556527278.609901	7.127519
1556527278.610901	0
1556527278.611901	0
1556527278.613612	5.953871
1556527278.614612	0
1556527278.615612	0
1556527278.616612	0
1556527278.617790	7.932436
1556527278.618790	0
1556527278.619790	0
1556527278.621784	27.659981
1556527278.622784	0
1556527278.623784	0
1556527278.624784	0
1556527278.625784	0
1556527278.627484	5.814288
1556527278.628484	0
1556527278.629484	0
1556527278.630484	0
1556527278.631484	0
1556527278.633471	1.845247
1556527278.635015	7.155034
1556527278.636015	0
1556527278.637015	0
1556527278.638140	14.140841
1556527278.639147	175.515152
1556527278.640396	141.510975
1556527278.641427	150.024052
1556527278.642637	136.953695
1556527278.644376	31.763093
1556527278.645975	20.725809
1556527278.646975	0
1556527278.647975	0
1556527278.649722	32.431662
1556527278.650722	0
1556527278.651722	0
1556527278.652722	0
1556527278.653869	7.992181
1556527278.655126	140.598521
1556527278.656136	185.956563
1556527278.657465	124.693219
1556527278.658870	146.701510
1556527278.659995	23.001483
1556527278.661832	18.041272
1556527278.662832	0
1556527278.663832	0
1556527278.664832	0
1556527278.665879	5.459644
1556527278.666879	0
1556527278.667879	0
1556527278.669495	9.165161
1556527278.670495	0
1556527278.671495	0
1556527278.673481	11.086494
1556527278.674481	0
1556527278.675481	0
1556527278.676481	0
1556527278.677481	0
1556527278.679452	18.501837
1556527278.680452	0
1556527278.681491	5.418148
1556527278.682491	0
1556527278.684133	12.543584
1556527278.685667	21.605222
1556527278.686667	0
1556527278.687667	0
1556527278.688667	0
1556527278.689667	0
1556527278.691262	5.923552
1556527278.692262	0
1556527278.693786	17.508407
1556527278.695026	157.311286
1556527278.696043	130.340366
1556527278.697084	184.054970
1556527278.698284	147.303000
1556527278.699457	147.460163
1556527278.700457	0
1556527278.702083	14.060826
1556527278.703083	0
1556527278.704110	10.901306
1556527278.705785	19.784799
1556527278.706848	31.181696
1556527278.707848	0
1556527278.708848	0
1556527278.710111	10.156949
1556527278.711168	177.652684
1556527278.712185	141.235170
1556527278.713498	140.130719
1556527278.714498	0
1556527278.715498	0
1556527278.716498	0
1556527278.717741	6.099348
1556527278.718741	0
1556527278.719741	0
1556527278.721562	2.891302
1556527278.722562	0
1556527278.723562	0
1556527278.724562	0
1556527278.725981	7.499757
1556527278.727013	167.591592
1556527278.728056	162.531321
1556527278.729153	90.637687
1556527278.730644	96.317237
1556527278.731644	0
1556527278.733436	3.956622
1556527278.734436	0
1556527278.735486	16.167481
1556527278.736486	0
