stopTime:1556527293.000000s and checkThroughInterval:0.001000s
[1556527277.443422 s]:	received 472048 bytes....
[1556527277.443775 s]:	received 476392 bytes....
[1556527277.443831 s]:	received 479288 bytes....
[1556527277.443904 s]:	received 480736 bytes....
[1556527277.443951 s]:	received 482184 bytes....
[1556527277.444087 s]:	received 483632 bytes....
[1556527277.444219 s]:	received 485080 bytes....
[1556527277.445776 s]:	received 489424 bytes....
[1556527277.446212 s]:	received 496664 bytes....
[1556527277.446265 s]:	received 502456 bytes....
[1556527277.446346 s]:	received 503904 bytes....
[1556527277.446412 s]:	received 505352 bytes....
[1556527277.446833 s]:	received 509696 bytes....
[1556527277.447274 s]:	received 517888 bytes....
[1556527277.447308 s]:	received 522728 bytes....
[1556527277.447433 s]:	received 524176 bytes....
[1556527277.447711 s]:	received 528520 bytes....
[1556527277.448089 s]:	received 535760 bytes....
[1556527277.448133 s]:	received 540104 bytes....
[1556527277.448198 s]:	received 541552 bytes....
[1556527277.448720 s]:	received 549744 bytes....
[1556527277.448738 s]:	received 551688 bytes....
[1556527277.449140 s]:	received 556032 bytes....
[1556527277.449182 s]:	received 560376 bytes....
[1556527277.449231 s]:	received 561824 bytes....
[1556527277.449307 s]:	received 563272 bytes....
[1556527277.449798 s]:	received 567616 bytes....
[1556527277.450233 s]:	received 571960 bytes....
[1556527277.450275 s]:	received 576304 bytes....
[1556527277.450308 s]:	received 577752 bytes....
[1556527277.453758 s]:	received 582096 bytes....
[1556527277.457820 s]:	received 586440 bytes....
[1556527277.461531 s]:	received 587888 bytes....
[1556527277.461647 s]:	received 589336 bytes....
[1556527277.462275 s]:	received 593680 bytes....
[1556527277.468074 s]:	received 598024 bytes....
[1556527277.472443 s]:	received 599472 bytes....
[1556527277.477655 s]:	received 603816 bytes....
[1556527277.478820 s]:	received 608160 bytes....
[1556527277.483910 s]:	received 612504 bytes....
[1556527277.485793 s]:	received 613952 bytes....
[1556527277.487454 s]:	received 618296 bytes....
[1556527277.489877 s]:	received 622640 bytes....
[1556527277.490324 s]:	received 630832 bytes....
[1556527277.490358 s]:	received 635672 bytes....
[1556527277.490400 s]:	received 637120 bytes....
[1556527277.490465 s]:	received 638568 bytes....
[1556527277.490896 s]:	received 642912 bytes....
[1556527277.490939 s]:	received 647256 bytes....
[1556527277.491459 s]:	received 651600 bytes....
[1556527277.491724 s]:	received 659792 bytes....
[1556527277.491742 s]:	received 661736 bytes....
[1556527277.491916 s]:	received 666080 bytes....
[1556527277.491956 s]:	received 667528 bytes....
[1556527277.492323 s]:	received 671872 bytes....
[1556527277.492385 s]:	received 676216 bytes....
[1556527277.492449 s]:	received 677664 bytes....
[1556527277.492753 s]:	received 682008 bytes....
[1556527277.493174 s]:	received 690200 bytes....
[1556527277.493200 s]:	received 692144 bytes....
[1556527277.493283 s]:	received 693592 bytes....
[1556527277.493329 s]:	received 695040 bytes....
[1556527277.493909 s]:	received 699384 bytes....
[1556527277.493965 s]:	received 700832 bytes....
[1556527277.494012 s]:	received 702280 bytes....
[1556527277.494070 s]:	received 703728 bytes....
[1556527277.494486 s]:	received 708072 bytes....
[1556527277.494891 s]:	received 716264 bytes....
[1556527277.494925 s]:	received 718208 bytes....
[1556527277.494936 s]:	received 721104 bytes....
[1556527277.494995 s]:	received 722552 bytes....
[1556527277.495513 s]:	received 730744 bytes....
[1556527277.495540 s]:	received 732688 bytes....
[1556527277.496087 s]:	received 737032 bytes....
[1556527277.497775 s]:	received 741376 bytes....
[1556527277.498196 s]:	received 748616 bytes....
[1556527277.498634 s]:	received 756808 bytes....
